"","No.Of.Policies","Monthly.Premium.Auto","Income","Monthly.Since.Last.Claims","Total.Claims.Amount","Months.Since.Policy.Inception","Response","Gender","No.Of.Open.Complaints","Customer.Lifetime.Value"
"438",1,73,93403,18,295.224598,32,"No","F",0,2912.248444
"439",7,68,0,21,326.4,69,"No","F",0,5009.808888
"440",1,71,91368,13,395.328407,95,"No","F",0,2864.544017
"441",9,72,48927,1,139.354893,51,"No","F",0,5801.128252
"442",7,68,57587,4,257.090387,83,"No","F",0,5418.152088
"443",2,70,65724,13,14.518312,66,"No","F",0,22110.39804
"444",1,119,56146,0,401.785805,91,"No","M",0,4756.12617
"445",4,72,33257,15,345.6,14,"No","F",1,5675.923323
"446",2,117,78487,5,448.255019,17,"No","F",0,26199.5401416
"447",7,79,26577,9,73.719521,40,"No","F",0,6292.735356
"448",6,64,43461,24,307.2,47,"No","M",0,5165.810048
"449",1,86,42526,12,287.5426,71,"No","F",0,3417.204953
"450",1,110,0,35,1272.546918,78,"No","M",1,3742.579083
"451",2,95,58361,17,43.599861,16,"No","F",0,15265.81488
"452",1,64,0,2,380.822087,52,"No","F",0,2374.80917
"453",1,125,0,6,900,44,"No","F",0,4512.204391
"454",5,94,12075,16,451.2,23,"No","F",0,7264.803903
"455",4,109,62464,23,400.181882,45,"Yes","M",0,8658.863813
"456",3,73,22520,17,350.4,64,"Yes","M",0,5498.940679
"457",6,72,35012,0,345.6,50,"No","F",0,5599.382893
"458",2,126,95140,6,45.049185,52,"No","F",0,15228.19865
"459",9,65,70446,31,155.570802,99,"No","F",0,5275.626956
"460",1,235,24314,20,1128,60,"No","M",0,9283.737773
"461",1,72,30473,20,450.080101,35,"No","F",0,2841.443088
"462",3,87,50472,6,281.163705,67,"No","M",0,6832.133872
"463",4,69,47611,17,593.654484,65,"No","M",0,5484.588155
"464",3,72,22134,13,445.879224,81,"No","M",0,5764.784159
"465",4,117,43811,24,571.136574,10,"No","F",0,9429.629367
"466",1,69,64519,6,331.2,29,"No","F",1,2742.844251
"467",2,80,0,6,81.255741,28,"No","F",0,8858.352032
"468",2,82,68189,10,343.121192,17,"No","F",1,26180.80528
"469",2,130,32370,31,487.736171,84,"No","F",0,15641.25856
"470",1,65,34990,23,42.689135,73,"Yes","F",0,2574.020376
"471",1,67,80985,0,124.933587,52,"No","M",0,2707.20846
"472",9,72,36088,16,345.6,31,"Yes","M",0,5528.212807
"473",2,71,40803,8,122.912377,19,"No","F",3,8169.513982
"474",9,72,36088,16,345.6,31,"Yes","M",0,5528.212807
"475",7,89,23032,30,427.2,22,"No","F",0,7094.167717
"476",1,104,32114,22,445.29049,50,"No","F",0,4128.091334
"477",4,61,44934,9,357.926979,60,"No","F",0,4869.282783
"478",1,73,96137,17,67.490616,34,"No","F",2,2902.151897
"479",2,67,22668,5,33.718553,34,"No","F",1,7750.120323
"480",6,91,0,26,655.2,89,"No","M",0,5994.424627
"481",3,67,22594,22,321.6,41,"No","F",0,5146.80976
"482",1,73,40987,6,329.013275,15,"No","F",0,2938.080327
"483",2,126,24561,1,853.473552,31,"No","M",0,14432.74644
"484",2,83,76456,27,42.693918,34,"No","F",1,13027.41984
"485",9,67,55350,0,321.6,13,"Yes","F",0,5380.898636
"486",5,111,21052,12,453.578343,55,"No","M",0,8432.815731
"487",2,69,24664,12,496.8,15,"No","M",0,7787.431684
"488",2,71,25381,22,340.8,62,"No","M",0,8200.78728
"489",2,67,18150,17,220.304649,34,"No","F",0,10215.77915
"490",5,125,16972,17,600,89,"No","F",0,9029.71466
"491",1,171,43758,16,1129.929433,29,"No","M",0,6803.596768
"492",1,119,77846,8,342.471939,45,"No","F",0,4798.240889
"493",1,182,80864,5,618.210272,30,"No","M",0,7322.92885
"494",3,73,70837,7,362.743231,19,"No","M",4,5635.403677
"495",4,65,78115,1,255.454322,12,"No","F",0,5270.013569
"496",2,71,81947,12,203.993499,78,"No","F",0,8621.172176
"497",2,72,97768,22,151.843731,14,"No","F",0,8692.636838
"498",5,107,59230,11,245.076091,56,"No","M",0,8513.592687
"499",1,102,57506,24,615.243841,43,"No","M",0,4082.170583
"500",3,71,0,3,340.8,38,"No","F",0,5507.063242
"501",1,113,56718,7,542.4,95,"No","M",1,4371.190437
"502",1,74,0,19,501.472124,4,"No","F",0,2600.641181
"503",5,121,99364,3,580.8,37,"No","F",0,9778.733613
"504",3,61,69247,12,226.522147,64,"No","M",1,4872.774396
"505",1,185,24417,22,888,25,"No","F",0,7142.54905
"506",1,99,37384,9,475.2,17,"Yes","F",0,4014.453113
"507",3,74,0,35,532.8,2,"No","F",0,5208.35385
"508",6,101,0,28,337.617149,34,"No","F",0,7399.032079
"509",2,70,20545,23,336,86,"No","M",0,7271.43404
"510",1,83,0,20,398.4,32,"No","F",0,3164.494011
"511",1,67,35503,14,216.173135,95,"No","F",0,2661.033435
"512",2,74,0,16,355.2,89,"No","F",1,7654.227067
"513",1,64,0,21,685.456738,5,"No","M",0,2199.73952
"514",7,198,39032,31,950.4,15,"No","M",0,15762.60349
"515",1,70,31535,27,90.525716,46,"No","F",0,2713.36798
"516",2,62,46244,8,255.285875,3,"No","F",0,14590.24583
"517",2,61,40153,1,340.07498,99,"No","F",0,7227.120364
"518",2,64,0,26,307.2,72,"No","F",0,11513.16291
"519",3,65,33171,27,236.643695,17,"No","F",0,5147.11023
"520",1,68,0,24,326.4,73,"No","F",0,2535.321683
"521",8,93,27072,24,565.336931,27,"No","M",0,7349.32849
"522",4,130,78435,11,553.61131,19,"No","F",0,10479.89966
"523",8,79,25899,10,568.8,11,"No","M",0,6042.9119
"524",1,65,0,11,361.181122,62,"No","F",0,2392.13114
"525",9,77,0,20,369.6,89,"No","F",0,5521.542577
"526",2,98,58516,14,470.4,75,"No","F",0,15806.53397
"527",7,65,23285,30,118.446235,22,"No","F",0,4942.630606
"528",1,104,56901,29,499.2,82,"No","F",0,4167.419574
"529",2,242,0,1,1742.4,34,"No","M",0,26199.5401416
"530",2,64,64801,23,268.471802,19,"Yes","M",0,7582.113842
"531",2,130,0,9,1376.910777,43,"No","M",0,22337.1631
"532",7,63,20647,17,185.061408,10,"No","M",0,4792.830533
"533",1,154,66839,33,739.2,24,"Yes","M",0,5989.773931
"534",5,64,99428,16,48.046869,25,"No","F",1,5185.797582
"535",3,74,31364,28,461.269135,47,"No","F",0,5828.1822
"536",1,61,0,5,292.8,21,"No","M",0,2265.318569
"537",2,84,74243,34,71.311211,2,"No","M",0,10171.47779
"538",1,116,0,6,765.566699,63,"No","F",0,4303.471379
"539",8,69,28343,19,331.2,88,"No","M",0,5437.443727
"540",1,170,90750,30,746.0459,47,"No","F",0,6837.536476
"541",3,135,21499,34,648,28,"No","M",1,10515.96779
"542",4,102,93715,9,254.83769,43,"No","F",2,8131.779152
"543",2,96,68771,10,276.268778,70,"No","F",0,22800.53543
"544",2,108,68562,29,228.498823,52,"No","F",0,13151.83203
"545",1,96,0,2,28.460568,88,"No","F",0,3686.723847
"546",3,101,30366,25,484.8,13,"No","M",2,7704.95848
"547",2,125,0,6,900,61,"Yes","M",0,13024.13012
"548",1,64,83758,27,106.591949,34,"No","F",0,2585.955652
"549",2,90,11828,18,571.479602,84,"Yes","F",0,10083.48688
"550",2,63,0,1,302.4,21,"No","M",0,6334.466403
"551",8,63,20868,19,134.629643,13,"No","F",0,5016.827946
"552",1,132,81850,1,429.860895,75,"No","F",0,5275.056933
"553",8,76,22906,17,519.883102,27,"No","M",0,5746.32619
"554",1,83,0,15,398.4,85,"No","M",1,2705.987629
"555",2,108,72845,13,463.000336,28,"No","F",0,13158.37206
"556",2,74,81713,0,332.224293,41,"No","F",0,26199.5401416
"557",1,83,29698,17,215.884804,89,"No","F",2,3147.973444
"558",3,94,28377,26,451.2,99,"No","M",0,7434.675149
"559",2,100,21102,0,480,81,"No","M",0,11714.78278
"560",1,65,0,12,312,57,"No","M",2,2009.772923
"561",2,67,27869,18,482.4,59,"No","F",0,18474.71111
"562",2,103,57449,6,494.4,28,"Yes","M",0,12157.32992
"563",2,103,0,9,1060.310769,72,"No","F",0,26199.5401416
"564",2,122,0,15,827.786203,11,"No","M",0,13419.39623
"565",1,83,60244,3,326.281835,72,"Yes","M",3,3237.996209
"566",2,65,52735,21,123.512596,19,"No","F",0,10357.62776
"567",3,102,77282,8,489.6,54,"No","F",0,8209.054963
"568",1,125,51962,8,788.206874,2,"No","F",4,4804.35851
"569",1,165,0,29,1188,6,"No","M",2,5179.55248
"570",7,97,66726,3,335.840529,60,"No","M",1,7661.388132
"571",6,96,0,25,460.8,71,"No","F",0,6877.817669
"572",7,63,25632,27,351.270869,52,"Yes","M",0,4929.549699
"573",2,89,61108,22,49.451117,93,"Yes","F",0,10484.91535
"574",1,71,62537,19,354.199664,64,"No","F",1,2811.956395
"575",9,80,43478,27,384,79,"No","F",0,6446.918637
"576",9,66,27179,8,344.201601,91,"No","F",0,5290.127299
"577",2,97,13663,1,465.6,66,"Yes","F",0,25464.82059
"578",5,113,97745,10,695.136477,64,"No","F",0,9043.678095
"579",9,70,0,20,336,81,"No","F",0,4774.747415
"580",3,66,0,27,712.309237,89,"No","F",0,4755.47946
"581",1,88,30817,25,91.834668,43,"Yes","M",0,3436.134281
"582",8,93,0,28,436.143226,3,"No","F",0,6966.142868
"583",2,90,11828,18,571.479602,84,"Yes","F",0,10083.48688
"584",1,101,67895,25,403.937672,27,"No","F",4,3975.321516
"585",2,121,10563,20,109.814874,10,"No","F",0,13523.12989
"586",3,62,0,10,722.432062,97,"No","M",0,4422.409799
"587",9,93,16224,13,498.452698,55,"No","M",0,7031.463693
"588",4,113,63800,9,542.4,43,"No","M",0,9050.756606
"589",3,94,31477,22,146.950756,77,"No","F",0,7516.831717
"590",1,136,66429,35,57.712985,93,"Yes","M",0,5389.499465
"591",3,90,0,15,900.242038,55,"No","M",0,6275.155361
"592",3,65,0,29,655.489027,32,"No","F",0,4722.237214
"593",1,172,0,23,141.460349,6,"No","F",0,6282.317743
"594",6,100,74217,35,418.005524,3,"No","M",0,7986.191274
"595",4,88,46298,11,128.292466,82,"No","M",3,6503.219978
"596",2,77,0,29,509.100577,21,"No","F",0,8709.321889
"597",6,67,59601,28,321.6,2,"No","M",0,5368.887709
"598",1,215,46503,4,1032,21,"Yes","F",1,8427.172486
"599",1,72,37124,4,430.518791,17,"No","M",0,2832.513487
"600",2,106,61347,27,604.237801,66,"No","F",0,21101.21422
"601",2,105,59744,1,476.486416,79,"No","F",0,26199.5401416
"602",3,117,38898,26,561.6,68,"No","F",0,9100.787395
"603",4,94,0,19,17.938979,98,"No","M",2,6358.251692
"604",1,66,99961,6,316.8,54,"No","F",2,2628.468543
"605",2,187,37553,34,897.6,7,"No","F",0,22217.96796
"606",1,66,24182,12,316.8,32,"No","M",0,2398.740007
"607",3,84,80979,32,25.961213,27,"No","F",2,6622.05254
"608",1,72,65247,14,381.238176,55,"No","F",0,2899.702858
"609",1,101,0,1,960.115399,83,"Yes","M",4,3123.080994
"610",3,111,0,30,799.2,86,"No","M",0,7636.279594
"611",3,129,0,15,619.2,42,"No","M",0,9227.567263
"612",2,240,21275,3,1152,58,"No","M",0,26199.5401416
"613",1,106,47746,9,246.696768,4,"No","M",0,4260.765808
"614",3,64,85522,1,165.002742,56,"No","M",0,5126.836814
"615",1,89,69152,8,221.359492,83,"No","M",4,3319.620511
"616",5,105,0,2,914.538629,84,"No","F",0,7602.663689
"617",1,71,33252,20,407.668083,4,"No","F",0,2839.808041
"618",2,61,44788,6,386.031248,48,"Yes","M",0,7285.030983
"619",1,134,38521,15,557.184015,71,"No","F",0,5293.368089
"620",2,67,34482,4,83.830109,6,"No","M",0,13265.96256
"621",1,68,0,35,487.345606,35,"No","F",0,2369.439009
"622",2,62,37256,15,128.969729,7,"Yes","M",0,9816.528302
"623",1,79,59644,15,379.2,94,"No","M",0,3136.698216
"624",2,73,50854,15,101.489422,72,"No","F",0,11516.40557
"625",1,106,15413,4,508.8,67,"No","F",0,4013.849907
"626",8,181,16181,22,1261.319869,79,"Yes","F",0,13736.1325
"627",4,66,0,23,668.158687,38,"No","F",0,4912.025292
"628",9,74,61006,6,73.919629,99,"No","M",0,5953.213546
"629",2,109,34148,27,451.566751,30,"No","M",0,12883.81001
"630",1,113,59556,11,681.505066,86,"No","M",0,4540.381153
"631",7,114,0,2,547.2,45,"No","M",0,8447.801005
"632",2,68,0,6,326.4,94,"No","M",0,18690.34066
"633",1,122,71153,1,209.019238,94,"No","F",0,4916.303715
"634",9,74,23726,1,355.2,83,"No","F",0,5714.165863
"635",1,124,13037,28,839.348464,49,"Yes","F",0,4726.869327
"636",2,63,24245,0,302.4,22,"No","M",0,7079.790277
"637",1,65,42557,4,57.562324,35,"No","M",0,2540.689797
"638",9,65,75644,5,467.803638,68,"Yes","M",3,4974.801539
"639",1,76,73782,11,111.622054,97,"No","M",0,3032.816016
"640",2,127,59797,4,609.6,50,"No","F",0,15261.41386
"641",3,117,99189,27,75.302707,27,"No","F",0,9406.381948
"642",1,118,58089,31,566.4,83,"Yes","M",0,4686.469674
"643",2,201,43704,29,1064.482165,67,"No","M",0,24178.68478
"644",4,85,40372,15,76.975713,17,"No","M",0,6762.082924
"645",6,63,0,3,453.6,5,"No","F",0,4574.547243
"646",1,81,62873,0,207.75186,41,"Yes","M",0,3230.576665
"647",1,69,0,34,624.980751,13,"No","M",1,2276.392936
"648",1,98,35970,29,470.4,81,"No","M",0,3895.961837
"649",1,84,26285,7,403.2,1,"No","M",0,3312.323945
"650",8,74,0,29,65.953005,52,"No","F",0,5560.278162
"651",7,73,55836,8,314.936185,87,"No","M",0,5875.038074
"652",1,116,14985,12,571.319514,45,"No","F",0,4506.577736
"653",2,295,56343,11,1612.962321,69,"No","F",0,26199.5401416
"654",1,111,47747,31,165.588524,76,"No","F",0,4379.770178
"655",8,116,37722,8,158.077504,23,"Yes","M",0,9075.768214
"656",1,73,13393,31,34.708194,11,"No","F",0,2869.301319
"657",1,191,58419,29,202.468807,6,"No","F",0,7764.273102
"658",4,84,0,0,856.347474,76,"No","F",0,6102.953572
"659",8,114,77603,10,547.2,83,"No","M",0,9191.672825
"660",2,116,75425,25,663.643801,88,"No","F",1,26199.5401416
"661",1,123,0,14,1480.336748,97,"No","F",0,4383.751482
"662",1,64,20992,21,307.2,73,"No","M",0,2399.17815
"663",1,85,57428,34,414.649796,40,"No","M",1,3402.777293
"664",9,71,68654,32,208.048487,21,"No","F",2,5642.747998
"665",2,70,95419,6,336,61,"No","M",3,8268.272933
"666",1,130,68131,22,226.607648,27,"No","M",0,5244.40475
"667",2,115,51437,35,244.086665,30,"No","M",0,22754.66137
"668",8,90,27972,13,240.318607,7,"No","M",0,6966.319103
"669",1,64,0,20,483.25721,4,"No","F",0,2224.089639
"670",1,73,51906,29,374.864662,78,"No","M",0,2890.338106
"671",3,127,60078,23,140.819942,60,"No","F",0,10213.99111
"672",1,72,23803,11,410.548521,90,"No","F",0,2871.437451
"673",9,67,0,10,315.215329,38,"No","M",0,4776.186527
"674",1,66,21104,34,118.454974,74,"No","M",0,2572.506605
"675",1,96,0,19,438.661509,30,"No","F",0,3571.346578
"676",7,239,22705,19,1294.700423,59,"Yes","F",0,19160.98994
"677",1,89,0,10,427.2,83,"No","F",0,3301.518961
"678",1,69,0,5,272.381465,74,"No","M",0,2497.531509
"679",2,74,76558,2,216.980413,45,"No","M",0,8901.468512
"680",1,117,50250,3,561.6,93,"No","M",0,4633.452912
"681",1,80,0,28,286.115778,97,"No","M",0,2993.024583
"682",2,64,16916,31,377.512951,31,"No","M",0,7155.337765
"683",2,73,23815,4,424.330166,47,"Yes","F",0,8257.666512
"684",1,101,88454,8,308.749796,89,"No","M",0,4050.506193
"685",1,69,20943,0,240.00056,86,"No","F",0,2627.76229
"686",1,64,37612,0,307.2,32,"No","F",0,2537.969253
"687",3,62,0,12,639.758314,53,"No","F",0,4549.079221
"688",1,128,16450,6,871.484565,81,"No","M",0,4836.21886
"689",2,110,74560,31,528,20,"No","F",0,26199.5401416
"690",1,69,0,13,496.8,75,"No","F",0,2452.360892
"691",2,89,40882,6,393.637436,17,"No","M",0,10340.45566
"692",5,73,46133,7,19.626306,78,"No","M",0,5718.276608
"693",5,90,0,4,648,18,"No","M",0,6189.122455
"694",3,72,33317,18,345.6,31,"No","M",1,5643.724704
"695",3,112,0,12,537.6,93,"Yes","F",0,8007.399376
"696",1,216,68516,17,95.693949,0,"No","F",0,8712.157741
"697",1,114,78152,18,547.2,35,"No","M",0,4631.011293
"698",1,66,77350,11,316.8,4,"No","M",0,2635.505781
"699",6,71,86641,17,161.752532,79,"No","F",0,5741.72743
"700",3,125,0,7,988.535078,99,"No","M",0,9022.08313
"701",3,81,0,10,388.8,80,"No","M",3,4759.664624
"702",2,103,78441,6,613.866905,73,"No","M",0,12375.02163
"703",4,117,0,0,511.422666,65,"No","F",0,8662.048958
"704",1,199,60184,7,161.61574,44,"No","M",1,7664.219255
"705",1,106,0,29,763.2,38,"No","F",0,3839.746159
"706",1,80,78784,33,239.964694,72,"No","M",0,3199.824902
"707",1,65,61567,35,39.532978,78,"No","M",0,2608.786334
"708",5,95,63624,10,175.243467,5,"No","F",0,7712.436971
"709",2,101,0,10,727.2,48,"No","F",0,11095.97445
"710",9,89,34835,1,294.691896,45,"No","M",2,6981.081694
"711",1,71,0,22,340.8,25,"No","M",0,2657.570431
"712",3,91,59414,23,340.32278,21,"No","F",0,7288.297591
"713",2,61,84488,33,208.885686,71,"No","F",0,19643.54421
"714",2,69,0,32,450.760925,21,"No","F",0,12807.09083
"715",2,149,67739,4,270.373444,76,"No","M",0,26199.5401416
"716",1,63,25899,20,302.4,36,"No","M",0,2500.834374
"717",6,90,0,16,648,66,"No","M",2,5846.41534
"718",1,71,91810,27,165.520952,43,"No","F",0,2867.211836
"719",1,77,0,15,491.66348,89,"No","F",0,2903.749709
"720",2,70,0,18,504,23,"No","M",0,20123.86854
"721",1,108,75648,28,112.660916,10,"Yes","F",0,4349.30875
"722",1,96,0,6,460.8,60,"No","M",0,3475.07136
"723",3,136,0,7,979.2,34,"No","F",0,9713.156737
"724",1,112,20868,14,537.6,11,"No","F",0,4429.193391
"725",1,62,40921,0,10.560419,50,"No","F",2,2435.535995
"726",9,69,25237,23,378.345883,52,"No","F",0,5205.751205
"727",4,77,49419,3,203.296071,34,"No","F",0,6207.171358
"728",7,85,68423,14,324.413656,81,"No","M",0,6748.231188
"729",1,63,84495,15,302.4,61,"No","F",0,2542.06388
"730",1,73,11167,0,350.4,99,"No","F",3,2568.843396
"731",1,67,38166,25,236.842746,5,"No","M",1,2602.24525
"732",1,94,13457,31,285.825083,28,"No","F",0,3621.68883
"733",5,185,22012,5,75.698305,69,"No","F",0,14472.583
"734",8,144,27362,23,422.78411,28,"No","F",0,11447.5071
"735",1,118,42532,13,200.641734,32,"No","M",0,4645.569555
"736",1,64,68041,10,165.570243,47,"No","M",0,2497.808174
"737",1,65,0,8,468,91,"No","M",0,2369.111588
"738",1,122,0,27,725.870693,2,"Yes","M",0,4270.034394
"739",3,249,38688,22,2294.631639,6,"No","F",0,19435.62924
"740",4,129,64825,1,359.484342,78,"No","M",0,10298.38586
"741",8,67,77357,24,29.884537,38,"No","M",0,5229.741907
"742",1,103,25927,6,674.973614,20,"Yes","M",0,3933.813993
"743",1,71,17576,29,398.502948,70,"Yes","F",0,2722.210707
"744",2,105,0,7,756,91,"No","M",0,10575.94816
"745",3,92,63651,19,224.711836,10,"No","M",0,7150.225367
"746",2,63,0,4,685.12694,52,"Yes","F",0,16468.22079
"747",2,61,44788,6,386.031248,48,"Yes","M",0,7285.030983
"748",3,109,80780,26,3.55,11,"No","F",0,8797.829644
"749",1,111,88613,5,359.36848,59,"No","F",0,4439.900652
"750",3,64,35596,11,307.2,92,"No","F",0,5066.634057
"751",2,83,24631,25,398.4,87,"No","F",1,26199.5401416
"752",2,74,0,24,680.753091,54,"No","F",2,16236.47626
"753",1,199,54702,5,955.2,42,"No","F",0,8019.856041
"754",1,87,35033,26,490.638202,53,"No","M",0,3479.760165
"755",2,88,0,3,633.6,64,"No","F",0,9575.7578
"756",2,69,86180,11,48.051339,43,"No","M",4,8090.884414
"757",3,104,36881,5,499.2,25,"No","M",0,8267.119555
"758",1,64,47888,23,545.083116,16,"No","F",1,2489.16729
"759",1,63,21986,1,333.696228,9,"Yes","F",0,2395.57
"760",5,62,86305,1,80.73124,99,"Yes","M",0,4984.618655
"761",2,65,0,29,468,35,"No","F",2,6993.838856
"762",2,81,40269,0,329.980754,71,"No","M",2,9320.090224
"763",1,91,61894,3,436.8,21,"No","F",0,3663.740198
"764",2,76,0,4,32.508635,51,"No","F",1,8262.879764
"765",8,69,0,12,632.081402,89,"No","F",0,4836.054291
"766",2,100,28513,4,480,22,"Yes","F",1,15114.40241
"767",2,108,0,23,518.4,55,"No","M",0,11875.89915
"768",5,211,0,31,1012.8,52,"No","M",0,15700.28436
"769",1,73,51020,16,350.4,88,"No","F",0,2907.898828
"770",3,110,22454,5,556.097027,75,"No","M",2,8439.615236
"771",6,124,0,7,595.2,2,"No","M",3,8556.418397
"772",1,92,37843,2,354.455466,17,"No","M",0,3624.901612
"773",1,94,0,27,483.881752,52,"No","M",1,3028.780121
"774",3,68,56005,31,326.4,30,"Yes","M",1,5479.555081
"775",3,66,0,17,470.576119,29,"No","F",0,4709.52218
"776",1,71,0,25,511.2,30,"No","M",0,2414.072446
"777",7,73,94846,15,305.031114,68,"No","F",0,5918.330563
"778",9,69,50648,27,331.2,50,"No","M",1,5531.627731
"779",2,70,64692,17,336,80,"No","M",0,8435.176463
"780",2,187,0,22,1430.336183,97,"No","F",1,20552.62128
"781",1,71,71126,11,324.739746,72,"No","M",0,2854.114491
"782",2,80,29723,8,20.985105,79,"No","M",0,9162.063169
"783",7,91,21841,33,436.8,47,"No","F",0,7380.086414
"784",4,71,39469,1,315.560161,29,"No","M",0,5641.35916
"785",1,115,0,18,699.823461,30,"No","M",1,4060.956163
"786",1,118,36529,6,255.005116,41,"No","F",0,4762.156975
"787",1,71,81565,19,190.642833,54,"No","F",0,2880.348532
"788",2,63,47725,10,142.205246,66,"No","M",0,15119.55539
"789",6,81,50037,24,303.384527,91,"No","F",0,6513.612638
"790",6,90,75838,6,428.907968,64,"No","F",0,7189.106255
"791",1,63,29444,5,302.4,84,"No","F",0,2480.529264
"792",3,91,26514,16,655.2,58,"No","M",0,6974.922464
"793",1,114,48569,0,434.7579,14,"No","F",0,4576.759564
"794",1,86,0,7,619.2,31,"No","F",0,3031.399321
"795",2,146,0,7,1055.43784,50,"No","M",0,15814.74557
"796",5,61,67163,17,33.192803,41,"No","F",2,4879.384813
"797",3,96,37695,17,460.8,3,"No","F",0,7517.378484
"798",7,106,0,0,508.8,44,"No","F",0,7528.092744
"799",4,115,0,13,552,43,"No","F",0,8460.80939
"800",1,70,43775,3,310.744656,42,"No","F",0,2803.796963
"801",2,67,0,11,482.4,6,"No","F",0,20940.30306
"802",1,85,98278,26,367.577872,60,"No","F",0,3439.089657
"803",7,91,44605,3,436.8,45,"No","F",0,7284.445594
"804",6,63,11417,25,302.4,57,"No","F",0,4700.007467
"805",4,136,0,13,979.2,28,"No","M",0,9220.013197
"806",2,87,28025,28,611.40108,94,"No","M",0,23740.12142
"807",1,61,87462,0,51.294615,79,"No","M",1,2436.005997
"808",2,78,75264,24,343.340301,92,"No","F",0,9388.162927
"809",1,79,31532,1,241.077843,26,"No","F",0,3038.114641
"810",7,69,49833,5,331.2,74,"No","M",0,5564.735366
"811",1,154,0,26,1140.523821,85,"No","M",0,5232.333113
"812",2,187,68906,12,1053.300143,61,"No","M",0,26199.5401416
"813",5,85,64008,9,372.893812,66,"No","M",5,5970.995737
"814",6,99,87421,21,475.2,6,"No","F",0,8026.278333
"815",1,102,0,28,660.430456,11,"Yes","M",0,3567.503755
"816",7,71,44162,27,160.825045,16,"No","F",0,5645.513529
"817",2,68,43916,10,326.4,59,"No","F",2,7911.626107
"818",1,100,33282,24,207.510821,66,"No","F",1,3944.231185
"819",1,67,19637,34,333.138214,30,"No","F",0,2521.161048
"820",2,61,32312,29,276.590788,31,"No","F",3,7218.015592
"821",1,125,57709,10,600,26,"Yes","M",0,5073.282126
"822",5,66,26802,7,316.8,43,"Yes","M",1,4636.54647
"823",3,105,26448,7,75.330276,42,"No","F",0,8376.332294
"824",2,72,62262,17,193.505325,2,"No","F",0,25997.74996
"825",2,113,28727,7,350.877502,42,"No","M",0,13270.9446
"826",9,70,50406,20,132.208612,23,"No","M",0,5519.078475
"827",5,73,0,18,350.4,45,"Yes","F",0,5504.139033
"828",1,62,82695,10,217.945243,39,"No","M",0,2450.880954
"829",1,143,48156,9,686.4,20,"No","F",0,5666.69628
"830",9,114,82664,24,133.425609,10,"Yes","M",3,8838.085637
"831",2,117,61225,3,442.374873,0,"No","M",0,14002.75508
"832",3,140,12688,5,672,96,"No","M",0,10529.01236
"833",9,71,44634,16,396.035334,99,"No","M",1,5651.396772
"834",3,107,0,3,513.6,65,"Yes","F",0,8002.308333
"835",1,76,0,33,547.2,84,"No","M",0,2695.455483
"836",7,79,20676,28,379.2,27,"No","M",0,6063.19979
"837",8,65,37874,30,41.016038,65,"No","F",0,5258.251562
"838",2,66,14382,8,316.8,48,"No","M",0,12390.47778
"839",1,69,44025,0,331.2,75,"No","M",0,2728.03759
"840",3,106,24345,15,637.695945,21,"No","F",0,8183.592208
"841",1,115,94804,13,764.592151,79,"No","M",4,4583.748377
"842",1,108,0,2,912.581597,38,"No","M",0,3923.265453
"843",2,72,53223,9,299.788806,0,"No","F",0,8535.108303
"844",1,123,0,33,885.6,13,"No","M",0,4152.652599
"845",1,126,34452,2,604.8,51,"No","F",0,5048.051359
"846",8,62,62365,0,297.6,99,"No","F",0,4969.529102
"847",1,128,0,6,1548.310532,37,"No","M",1,4656.488488
"848",2,66,44856,24,316.8,71,"No","F",1,10148.41973
"849",2,77,0,17,369.6,65,"No","M",0,7628.749434
"850",1,73,65436,14,40.752864,55,"No","F",0,2912.59798
"851",1,125,57709,10,600,26,"Yes","M",0,5073.282126
"852",2,124,59853,18,570.847354,79,"No","F",0,19454.40847
"853",2,97,49078,10,484.013411,3,"Yes","M",0,22332.43946
"854",7,110,0,10,601.021286,32,"No","M",0,8215.388242
"855",1,66,26477,18,144.987956,37,"No","F",0,2621.116054
"856",3,71,21594,16,340.8,23,"No","M",3,5206.761563
"857",1,65,80584,33,312,17,"No","F",0,2601.468833
"858",2,85,19614,21,574.024018,32,"Yes","F",0,16301.9676
"859",2,82,0,15,511.320391,88,"No","F",2,26199.5401416
"860",9,119,46855,13,472.391125,94,"No","F",0,9501.005425
"861",1,110,58842,6,528,74,"Yes","M",0,4362.931238
"862",1,111,34549,8,125.933005,78,"No","M",0,4434.411172
"863",1,92,63329,33,441.6,87,"No","M",0,3611.183505
"864",1,92,40097,23,227.221652,35,"No","M",4,3289.120863
"865",1,137,44743,16,741.300032,55,"No","M",4,5112.306584
"866",7,99,36084,3,152.779038,9,"No","F",1,7627.31479
"867",3,119,0,9,571.2,8,"Yes","M",0,9048.983447
"868",1,99,0,13,1158.858027,87,"No","F",0,3539.97159
"869",1,92,0,7,611.844584,75,"No","F",0,3398.007367
"870",4,212,0,28,1526.4,51,"No","F",0,15789.65496
"871",9,97,0,10,251.63901,77,"No","M",1,6677.418103
"872",8,69,96406,16,331.2,64,"No","F",0,5593.434009
"873",7,79,0,21,407.440238,53,"Yes","M",1,5568.947534
"874",3,62,0,12,614.081483,68,"No","M",0,4221.312544
"875",1,283,51643,16,1358.4,43,"Yes","F",0,11009.13049
"876",2,102,0,35,489.6,48,"Yes","M",0,22103.5072
"877",3,71,90289,9,22.193348,10,"No","M",1,5633.531703
